Unique ID,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,writer,year
90,0,Fuji Television Network,Japan,Masanori Hata,Adventure,13245219,The Adventures of Milo and Otis,G,8/25/89,90,7.1,Kyªko Koizumi,Masanori Hata,1986
91,14000000,Touchstone Pictures,USA,Paul Mazursky,Comedy,62134225,Down and Out in Beverly Hills,R,1/31/86,103,6.1,Nick Nolte,Ren_ Fauchois,1986
92,12000000,Cinema Group Ventures,USA,Roger Spottiswoode,Comedy,7790931,The Best of Times,PG-13,1/31/86,104,5.9,Robin Williams,Ron Shelton,1986
93,0,Kings Road Entertainment,USA,Jim McBride,Comedy,17685307,The Big Easy,R,8/28/87,102,6.6,Dennis Quaid,Daniel Petrie Jr.,1986
94,10000000,Touchstone Pictures,USA,Jeff Kanew,Comedy,21458229,Tough Guys,PG,10/3/86,104,6.2,Burt Lancaster,James Orr,1986
95,0,New World Pictures,USA,Harley Cokeliss,Action,6637565,Black Moon Rising,R,1/10/86,100,5.4,Tommy Lee Jones,John Carpenter,1986
96,0,Meltdown Productions,UK,Jimmy T. Murakami,Animation,5274,When the Wind Blows,Not Rated,3/11/88,80,7.8,Peggy Ashcroft,Raymond Briggs,1986
97,12000000,Columbia Pictures Corporation,USA,Mark L. Lester,Action,15945534,Armed and Dangerous,PG-13,8/15/86,88,5.5,John Candy,Brian Grazer,1986
98,0,Empire Pictures,USA,Ted Nicolaou,Comedy,320256,TerrorVision,R,2/14/86,83,5.7,Diane Franklin,Ted Nicolaou,1986
99,3300000,Amaretto Films,USA,Richard Wenk,Comedy,4941117,Vamp,R,7/18/86,93,5.9,Chris Makepeace,Donald P. Borchers,1986
100,0,Virgin Vision,UK,Ken Russell,Horror,916172,Gothic,R,4/10/87,87,5.7,Gabriel Byrne,Lord Byron,1986
101,16000000,Act III Communications,USA,Rob Reiner,Adventure,30857814,The Princess Bride,PG,10/9/87,98,8.1,Cary Elwes,William Goldman,1987
102,15000000,Amercent Films,USA,John McTiernan,Action,59735548,Predator,R,6/12/87,107,7.8,Arnold Schwarzenegger,Jim Thomas,1987
103,30000000,Natant,UK,Stanley Kubrick,Drama,46357676,Full Metal Jacket,R,7/10/87,116,8.3,Matthew Modine,Gustav Hasford,1987
104,6000000,Great American Films Limited Partnership,USA,Emile Ardolino,Drama,63952836,Dirty Dancing,PG-13,8/21/87,100,6.9,Patrick Swayze,Eleanor Bergstein,1987
105,14000000,Paramount Pictures,USA,Adrian Lyne,Drama,156645693,Fatal Attraction,R,9/18/87,119,6.9,Michael Douglas,James Dearden,1987
106,0,Warner Bros.,USA,Joel Schumacher,Comedy,32222567,The Lost Boys,R,7/31/87,97,7.3,Jason Patric,Jan Fischer,1987
107,0,Hughes Entertainment,USA,Howard Deutch,Drama,18553948,Some Kind of Wonderful,PG-13,2/27/87,95,7.1,Eric Stoltz,John Hughes,1987
108,13000000,Orion Pictures,USA,Paul Verhoeven,Action,53424681,RoboCop,R,7/17/87,102,7.5,Peter Weller,Edward Neumeier,1987
109,1000000,Cinemarque Entertainment BV,UK,Clive Barker,Horror,14564027,Hellraiser,R,9/18/87,94,7,Andrew Robinson,Clive Barker,1987
110,22700000,Brooksfilms,USA,Mel Brooks,Adventure,38119483,Spaceballs,PG,6/24/87,96,7.1,Mel Brooks,Mel Brooks,1987
111,25000000,Paramount Pictures,USA,Brian De Palma,Crime,76270454,The Untouchables,R,6/3/87,119,7.9,Kevin Costner,Oscar Fraley,1987
112,27000000,Braveworld Productions,USA,Paul Michael Glaser,Action,38122105,The Running Man,R,11/13/87,101,6.6,Arnold Schwarzenegger,Stephen King,1987
113,12000000,Home Box Office (HBO),USA,Fred Dekker,Action,3769990,The Monster Squad,PG-13,8/14/87,82,7.2,Andre Gower,Shane Black,1987
114,15000000,Warner Bros.,USA,Richard Donner,Action,65207127,Lethal Weapon,R,3/6/87,110,7.6,Mel Gibson,Shane Black,1987
115,22000000,Golan-Globus Productions,USA,Gary Goddard,Action,17336370,Masters of the Universe,PG,8/7/87,106,5.4,Dolph Lundgren,David Odell,1987
116,0,Apollo Pictures,USA,Steve Rash,Comedy,31623833,Can't Buy Me Love,PG-13,8/14/87,94,6.7,Patrick Dempsey,Michael Swerdlick,1987
117,35000000,Amblin Entertainment,USA,Steven Spielberg,Drama,22238696,Empire of the Sun,PG,12/25/87,153,7.8,Christian Bale,Tom Stoppard,1987
118,22000000,Warner Bros.,USA,George Miller,Comedy,63766510,The Witches of Eastwick,R,6/12/87,118,6.5,Jack Nicholson,John Updike,1987
119,4500000,New Line Cinema,USA,Chuck Russell,Action,44793222,A Nightmare on Elm Street 3: Dream Warriors,R,2/27/87,96,6.6,Heather Langenkamp,Wes Craven,1987
120,0,Touchstone Pictures,USA,Chris Columbus,Action,34368475,Adventures in Babysitting,PG-13,7/3/87,102,6.9,Elisabeth Shue,David Simkins,1987
121,23000000,Universal Pictures,USA,Joseph Sargent,Adventure,20763013,Jaws: The Revenge,PG-13,7/17/87,89,2.9,Lorraine Gary,Peter Benchley,1987
122,3600000,De Laurentiis Entertainment Group (DEG),USA,Sam Raimi,Comedy,5923044,Evil Dead II,R,3/13/87,84,7.8,Bruce Campbell,Sam Raimi,1987
123,30000000,Eon Productions,UK,John Glen,Action,51185897,The Living Daylights,PG,7/31/87,130,6.7,Timothy Dalton,Richard Maibaum,1987
124,15000000,Twentieth Century Fox Film Corporation,USA,Oliver Stone,Crime,43848100,Wall Street,R,12/11/87,126,7.4,Charlie Sheen,Stanley Weiser,1987
125,17000000,Carolco International N.V.,UK,Alan Parker,Horror,17185632,Angel Heart,R,3/6/87,113,7.3,Mickey Rourke,William Hjortsberg,1987
